id,name,type,out_strength,in_strength,betweenness
Gerald G Gerald Gill Firth,Gerald G Gerald Gill Firth,archive_holder,3,0,3.2897764066935904e-06
Gerald OCollins,Gerald OCollins,archive_holder,3,0,5.9814116485338e-07
Geraldine Eardley Turner,Geraldine Eardley Turner,archive_holder,1,0,0.0
Gervas Huxley,Gervas Huxley,archive_holder,1,1,0.0
Gillian Bouras,Gillian Bouras,archive_holder,9,1,0.0021159900516857077
Gordon Neil Stewart,Gordon Neil Stewart,archive_holder,2,1,0.0
Graham Howitt Wilkinson,Graham Howitt Wilkinson,archive_holder,1,0,0.0
Graham Perkin,Graham Perkin,archive_holder,4,0,0.00031581853504258466
Gus ODonnell,Gus ODonnell,archive_holder,3,0,0.0
Guy Innes,Guy Innes,archive_holder,1,0,0.0
Gwen Harwood,Gwen Harwood,archive_holder,7,12,0.007126756768635329
Gwen Meredith,Gwen Meredith,archive_holder,12,0,0.006263136898168185
Gwen Stockfeld,Gwen Stockfeld,archive_holder,17,1,0.005650639584369881
Gwen WalkerSmith,Gwen WalkerSmith,archive_holder,5,0,0.0006316370700851693
H B Henry Baynton Gullett,H B Henry Baynton Gullett,archive_holder,7,0,0.001714601918569364
H Duncan Hessel Duncan Hall,H Duncan Hessel Duncan Hall,archive_holder,16,0,0.005189166872476414
H F Hesba Fay Brinsmead,H F Hesba Fay Brinsmead,archive_holder,4,0,0.000473727802563877
H Henrietta DrakeBrockman,H Henrietta DrakeBrockman,archive_holder,8,0,0.002060625269106765
H J Harold James Oliver,H J Harold James Oliver,archive_holder,4,0,0.0
H W Harold Welbourn King,H W Harold Welbourn King,archive_holder,1,0,0.0
Hal Porter,Hal Porter,archive_holder,3,11,0.004917752774381926
Hans Mol,Hans Mol,archive_holder,1,0,0.0
Harold Stewart,Harold Stewart,archive_holder,19,3,0.0033061563292611828
Harry Cooke,Harry Cooke,archive_holder,3,0,0.0
Harry Glathe,Harry Glathe,archive_holder,1,0,0.0
Harry Hastings Pearce,Harry Hastings Pearce,archive_holder,8,0,0.0031910379131746577
Harry Hooton,Harry Hooton,archive_holder,3,1,0.0018844437398705738
Hazel De Berg,Hazel De Berg,archive_holder,8,0,0.0027703687851695635
Heather Radi,Heather Radi,archive_holder,2,0,0.0
Helen Daphne Armstrong,Helen Daphne Armstrong,archive_holder,2,0,0.0
Helen Ester,Helen Ester,archive_holder,1,0,0.0
Helen Garner,Helen Garner,archive_holder,1,6,0.001931547767316814
Helen Heney,Helen Heney,archive_holder,6,0,1.49535291213345e-06
Helen Irving,Helen Irving,archive_holder,1,0,0.0
Henry C James,Henry C James,archive_holder,2,0,2.9907058242669e-07
Henry E Henry Ernest Boote,Henry E Henry Ernest Boote,archive_holder,6,0,0.0019942202433022712
Henry G Henry George Lamond,Henry G Henry George Lamond,archive_holder,3,0,0.0
Henry Handel Richardson,Henry Handel Richardson,archive_holder,20,11,0.01232240913020502
Henry J Cowan,Henry J Cowan,archive_holder,1,0,0.0
Henry Kendall,Henry Kendall,archive_holder,5,4,0.0007315724226655577
Henry Lawson,Henry Lawson,archive_holder,6,5,0.002862890842591761
Henry Reynolds,Henry Reynolds,archive_holder,7,1,0.0038096627405068734
Herbert Feith,Herbert Feith,archive_holder,4,1,0.0014131085019661103
Herbert Mishael,Herbert Mishael,archive_holder,7,0,0.0068845119061313005
Hercules George Robert Sir Robinson,Hercules George Robert Sir Robinson,archive_holder,5,0,1.19628232970676e-06
Hertha Lady Hay,Hertha Lady Hay,archive_holder,7,0,0.0020441474308864264
Hilary Cohen,Hilary Cohen,archive_holder,2,1,0.00015790926752129233
Hilary McPhee,Hilary McPhee,archive_holder,9,3,0.005438510565904428
Hilda Abbott,Hilda Abbott,archive_holder,9,1,0.002201757627825292
Honor Thwaites,Honor Thwaites,archive_holder,10,0,0.0014184917724497908
Hope Hewitt,Hope Hewitt,archive_holder,1,0,0.0
Horace Stelling,Horace Stelling,archive_holder,8,1,0.0014758854415448468
Howard E Howard Ernest Williams,Howard E Howard Ernest Williams,archive_holder,6,0,0.001728927037008695
Hugh Anderson,Hugh Anderson,archive_holder,7,3,0.0015697581917539262
Hugh McCrae,Hugh McCrae,archive_holder,2,12,0.0075730356221361626
Hugh Stretton,Hugh Stretton,archive_holder,22,3,0.006976313167521076
Hugh V Hugh Vincent Clarke,Hugh V Hugh Vincent Clarke,archive_holder,1,0,0.0
Humphrey McQueen,Humphrey McQueen,archive_holder,33,5,0.022387076374372955
Hutchinson Co Publishers Ltd,Hutchinson Co Publishers Ltd,archive_holder,1,0,0.0
Ian D Gust,Ian D Gust,archive_holder,2,0,0.0
Ian Templeman,Ian Templeman,archive_holder,3,3,0.0019170823977388098
Ian Turner,Ian Turner,archive_holder,1,1,6.860412855844007e-05
Inez Baranay,Inez Baranay,archive_holder,24,0,0.0066779087423082155
Iris Milutinovic,Iris Milutinovic,archive_holder,1,0,0.0
Isla aBeckett Marsh,Isla aBeckett Marsh,archive_holder,16,0,0.005055357117803174
Ivan Southall,Ivan Southall,archive_holder,25,2,0.007326499699593142
J A C James Austin Copland Mackie,J A C James Austin Copland Mackie,archive_holder,3,0,0.0
J A Joseph Aloysius Alexander,J A Joseph Aloysius Alexander,archive_holder,8,0,2.0934940769868303e-06
J B James Bristock Brigden,J B James Bristock Brigden,archive_holder,2,0,0.0
J B John Bradley Hirst,J B John Bradley Hirst,archive_holder,1,0,0.0
J C Jack C Horner,J C Jack C Horner,archive_holder,7,0,0.0016804677579779022
J D John Dashwood Holmes,J D John Dashwood Holmes,archive_holder,1,0,0.0
J D John David Legge,J D John David Legge,archive_holder,2,0,0.0
